"id";"account";"password";"day";"result"
42;"iak47273@cdfaq.com";"test412345";"2022-12-20 22:44:52";0
43;"null";"null";"2022-12-20 22:58:59";-1
44;"null";"null";"2022-12-20 23:03:30";-1
45;"null";"null";"2022-12-20 23:09:46";-1
46;"null";"null";"2022-12-20 23:16:11";-1
47;"null";"null";"2022-12-20 23:18:09";-1
48;"null";"null";"2022-12-20 23:18:44";-1
49;"null";"null";"2022-12-20 23:19:05";-1
50;"null";"null";"2022-12-20 23:19:49";-1
51;"null";"null";"2022-12-20 23:24:38";-1
52;"null";"null";"2022-12-21 13:11:39";-1
53;"null";"null";"2022-12-21 13:15:07";-1
54;"null";"null";"2022-12-21 13:15:29";-1
55;"null";"null";"2022-12-21 13:15:55";-1
56;"null";"null";"2022-12-21 13:16:48";-1
57;"null";"null";"2022-12-21 13:17:29";-1
58;"null";"null";"2022-12-21 13:19:07";-1
59;"null";"null";"2022-12-21 13:20:03";-1
60;"iak47273@cdfaq.com";"test412345";"2022-12-21 13:23:29";0
61;"iak47273@cdfaq.com";"test412345";"2022-12-21 13:24:00";0
62;"iak47273@cdfaq.com";"test412345";"2022-12-21 14:18:29";0
63;"iak47273@cdfaq.com";"test412345";"2022-12-21 14:18:30";0
64;"iak47273@cdfaq.com";"test412345";"2022-12-21 15:57:25";0
65;"iak47273@cdfaq.com";"test412345";"2022-12-21 16:08:05";0
66;"iak47273@cdfaq.com";"test412345";"2022-12-21 16:21:30";0
67;"LewisQQ";"LewisQQ";"2022-12-21 19:22:03";-1
68;"Guest.1";"Guest.1234";"2022-12-21 19:22:34";0
69;"Guest.1";"Guest.1234";"2022-12-21 19:35:06";0
70;"Guest.1";"Guest.1234";"2022-12-21 19:40:10";0
71;"Guest.1";"Guest.1234";"2022-12-21 19:42:45";0
72;"Guest.1";"Guest.1234";"2022-12-21 19:43:47";0
73;"Guest.1";"Guest.1234";"2022-12-21 19:45:44";0
74;"Guest.1";"Guest.1234";"2022-12-21 19:50:21";0
75;"Guest.1";"Guest.1234";"2022-12-21 19:55:23";0
76;"Guest.1";"Guest.1234";"2022-12-21 20:02:00";0
77;"Guest.1";"Guest.1234";"2022-12-21 20:02:20";0
78;"Guest.1";"Guest.1234";"2022-12-21 20:04:42";0
79;"Guest.1";"Guest.1234";"2022-12-21 20:06:59";0
80;"Guest.1";"Guest.1234";"2022-12-21 20:13:51";0
81;"Guest.1";"Guest.1234";"2022-12-21 20:20:23";0
82;"Guest.1";"Guest.1234";"2022-12-21 20:31:31";0
83;"Guest.1";"Guest.1234";"2022-12-21 20:33:47";0
84;"Guest.1";"Guest.1234";"2022-12-21 20:49:17";0
85;"Guest.1";"Guest.1234";"2022-12-21 20:51:37";0
86;"Guest.1";"Guest.1234";"2022-12-21 20:57:17";0
87;"Guest.1";"Guest.1234";"2022-12-21 20:58:11";0
88;"Guest.1";"Guest.1234";"2022-12-21 20:58:51";0
89;"Guest.1";"Guest.1234";"2022-12-21 20:59:14";0
90;"Guest.1";"Guest.1234";"2022-12-21 21:00:23";0
91;"Guest.1";"Guest.1234";"2022-12-21 21:06:15";0
92;"Guest.1";"Guest.1234";"2022-12-21 21:08:18";0
93;"Guest.1";"Guest.1234";"2022-12-21 21:08:50";0
94;"Guest.1";"Guest.1234";"2022-12-21 21:10:03";0
95;"Guest.1";"Guest.1234";"2022-12-21 21:11:59";0
96;"Guest.1";"Guest.1234";"2022-12-21 21:13:02";0
97;"Guest.1";"Guest.1234";"2022-12-21 21:25:32";0
98;"Guest.1";"Guest.1234";"2022-12-21 21:32:02";0
99;"Guest.1";"Guest.1234";"2022-12-21 21:37:57";0
100;"Guest.1";"Guest.1234";"2022-12-21 21:38:36";0
101;"Guest.1";"Guest.1234";"2022-12-21 21:41:56";0
102;"Guest.1";"Guest.1234";"2022-12-21 21:45:30";0
103;"Guest.1";"Guest.1234";"2022-12-21 21:47:06";0
104;"Guest.1";"Guest.1234";"2022-12-21 21:47:40";0
105;"Guest.1";"Guest.1234";"2022-12-21 21:48:35";0
106;"Guest.1";"Guest.1234111111";"2022-12-21 21:48:46";-1
107;"Guest.1";"Guest.1234";"2022-12-21 21:49:20";0
108;"Guest.1";"Guest.1234";"2022-12-21 21:50:36";0
109;"Guest.1";"Guest.1234";"2022-12-21 21:52:46";0
110;"Guest.1";"Guest.1234";"2022-12-21 21:54:09";0
111;"Guest.1";"Guest.1234";"2022-12-21 22:02:56";0
112;"Guest.1";"Guest.1234";"2022-12-21 22:03:20";0
113;"Guest.1";"Guest.1234";"2022-12-21 22:04:50";0
114;"Guest.1";"Guest.1234";"2022-12-21 22:06:52";0
115;"Guest.1";"Guest.1234";"2022-12-21 22:08:56";0
116;"Guest.1";"Guest.1234";"2022-12-21 22:10:42";0
117;"Guest.1";"Guest.1234";"2022-12-21 22:18:51";0
118;"Guest.1";"Guest.1234";"2022-12-21 22:23:55";0
119;"Guest.1";"Guest.1234";"2022-12-21 22:25:37";0
120;"Guest.1";"Guest.1234";"2022-12-21 22:26:35";0
121;"Guest.1";"Guest.1234";"2022-12-21 22:30:39";0
122;"Guest.1";"Guest.1234";"2022-12-21 22:37:24";0
123;"Guest.1";"Guest.1234";"2022-12-21 22:39:25";0
124;"Guest.1";"Guest.1234";"2022-12-21 22:40:55";0
125;"Guest.1";"Guest.1234";"2022-12-21 22:43:44";0
126;"Guest.1";"Guest.1234";"2022-12-21 22:44:00";0
127;"Guest.1";"Guest.1234";"2022-12-21 22:58:05";0
128;"Guest.1";"Guest.1234";"2022-12-21 22:59:24";0
129;"Guest.1";"Guest.1234";"2022-12-22 09:12:34";0
130;"Guest.1";"Guest.1234";"2022-12-22 09:12:55";0
131;"Guest.1";"Guest.1234";"2022-12-22 10:43:51";0
132;"Guest.1";"Guest.1234";"2022-12-22 10:46:08";0
133;"Guest.1";"Guest.1234";"2022-12-22 10:46:26";0
134;"Guest.1";"Guest.1234";"2022-12-22 10:48:25";0
135;"Guest.1";"Guest.1234";"2022-12-22 10:48:29";0
136;"Guest.1";"Guest.1234";"2022-12-22 10:48:36";0
137;"Guest.1";"Guest.1234";"2022-12-22 10:59:37";0
138;"Guest.1";"Guest.1234";"2022-12-22 11:00:13";0
139;"Guest.1";"Guest.1234";"2022-12-22 11:02:48";0
140;"Guest.1";"Guest.1234";"2022-12-22 11:05:58";0
141;"Guest.1";"Guest.1234";"2022-12-22 12:43:39";0
142;"Guest.2";"Guest.1234";"2022-12-22 12:51:43";0
143;"Guest.1";"Guest.1234";"2022-12-22 15:31:11";0
144;"Guest.1";"Guest.1234";"2022-12-23 15:30:38";0
145;"Guest.1";"Guest.1234";"2022-12-23 15:31:49";0
146;"Guest.1";"Guest.1234";"2022-12-23 15:33:43";0
147;"Guest.1";"Guest.1234";"2022-12-23 15:36:06";0
148;"Guest.1";"Guest.1234";"2022-12-23 20:38:17";0
149;"Guest.1";"Guest.1234";"2022-12-25 10:21:40";0
150;"Guest.1";"Guest.1234";"2022-12-26 19:10:15";0
151;"Guest.1";"Guest.1234";"2022-12-26 19:13:13";0
152;"Guest.1";"Guest.1234";"2022-12-28 11:17:46";0
153;"Guest.1";"Guest.1234";"2022-12-28 11:27:05";0
154;"Guest.1";"Guest.1234";"2023-01-03 20:32:13";0
155;"Qab1234@abc.com.tw";"Qab123456789";"2023-01-05 20:30:19";0
156;"QAB123456789@abc.com.tw";"QAB123456789";"2023-01-05 21:11:16";0
157;"Guest.1";"Guest.1234";"2023-01-06 10:00:26";0
158;"Guest.1";"Guest.1234";"2023-01-07 09:37:02";0
159;"Guest.1";"Guest.1234";"2023-01-07 11:50:07";0
160;"Guest.1";"Guest.1234";"2023-01-07 11:50:59";0
161;"Guest.1";"Guest.1234";"2023-01-07 12:27:00";0
162;"Guest.1";"Guest.1234";"2023-01-10 22:29:06";0
163;"patrick.yang@minds.com.tw";"abc1234";"2023-01-10 22:29:11";-1
164;"patrick.yang@minds.com.tw";"abc1234";"2023-01-10 22:29:18";-1
165;"patrick.yang@minds.com.tw";"1234";"2023-01-10 22:29:24";-1
166;"Guest.1";"Guest.1234";"2023-01-10 22:34:22";0
167;"Guest.1";"Guest.1234";"2023-01-10 22:38:31";0
168;"Guest.1";"Guest.1234";"2023-01-10 22:41:00";0
169;"Guest.1";"Guest.1234";"2023-01-10 22:42:22";0
170;"Guest.1";"Guest.1234";"2023-01-10 22:42:45";0
171;"Guest.1";"Guest.1234";"2023-01-10 22:44:13";0
172;"Guest.1";"Guest.1234";"2023-01-10 22:45:48";0
173;"Guest.1";"Guest.1234";"2023-01-10 22:47:18";0
174;"Guest.1";"Guest.1234";"2023-01-11 09:59:36";0
175;"Guest.1";"Guest.1234";"2023-01-11 13:42:37";0
176;"Guest.1";"Guest.1234";"2023-01-11 13:49:41";0
177;"Guest.1";"Guest.1234";"2023-01-11 15:23:06";0
178;"Guest.1";"Guest.1234";"2023-01-11 16:43:10";0
179;"epe1994";"1qazxsw2123";"2023-01-11 16:44:15";-1
180;"epe1996";"1qazxsw2123";"2023-01-11 16:45:09";-1
181;"epe1996";"1qazxsw2123";"2023-01-11 16:45:23";-1
182;"epr1996";"1qazxsw2123";"2023-01-11 16:46:08";-1
183;"epe1996";"1qazxsw2123";"2023-01-11 16:46:22";-1
184;"epr1996@epe.org.tw";"1qazxsw2123";"2023-01-11 16:46:44";0
185;"epr1996@epe.org.tw";"1qazxsw2123";"2023-01-11 16:46:59";0
186;"Guest.1";"Guest.1234";"2023-01-11 16:47:50";0
187;"hwc81195@xcoxc.com";"test123456";"2023-01-14 10:10:17";0
188;"Paul";"Paul1234";"2023-02-02 11:32:01";0
189;"Guest.1";"Guest.1234";"2023-02-02 11:34:15";0
190;"Guest.1";"Guest.1234";"2023-02-02 12:00:36";0
191;"Guest.1";"Guest.1234";"2023-02-03 18:46:21";0
192;"Janet";"test412345";"2023-02-08 14:53:25";-1
193;"Guest.1";"Guest.1234";"2023-02-08 14:54:29";0
194;"Janet";"test412345";"2023-02-08 15:01:23";-1
195;"Janet";"test41234";"2023-02-08 15:01:28";-1
196;"Guest.1";"Guest.1234";"2023-02-10 17:25:14";0
198;"dataops";"test";"";0
